#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*ხველება"] | [slemma = "დახველება"] 
# Matches:        436
# Excluded:       0
# Execution time: 0.020667 sec. (0.012977 CPU sec.)
#
# match	slemma	lemma	features	
#
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებდით	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:2Pl S:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:2Pl DO:3
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველებამ	ხველება	ხველებ[ა]/ხველ	N VN Erg Sg
ხველებამ	ხველება	ხველებ[ა]/ხველ	N VN Erg Sg
ხველებამ	ხველება	ხველებ[ა]/ხველ	N VN Erg Sg
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებდი	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:2Sg S:3Sg ¦ V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:2Sg S:3Pl ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:2Sg DO:3
ახველებდი	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:2Sg S:3Sg ¦ V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:2Sg S:3Pl ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:2Sg DO:3
მახველებს	ხველება	ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
ხველებას	ხველება	ხველებ[ა]/ხველ	N VN Dat Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
მახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:1Sg
მახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:1Sg
